Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,POSTCODE,LAT,LON,INCOME
05437406-9a32-0f92-cbff-5435a0cadf04,1997-05-22,,999-14-4831,S99923267,X15948156X,Ms.,Eileen,,Porter,,,,white,nonmixed,F,Taunton  South West  England,602 Reed Way,Exeter,South West,Devon,,EX4,50.683962062377354,-3.4803648418795734,914974
53153082-997c-7518-2a3e-f8adbfce5b4f,2001-02-10,,999-45-8080,S99992156,X87242731X,Ms.,Michelle,Julia,Campbell,,,,white,nonmixed,F,Swindon  South West  England,1033 Mohamed View Unit 52,St Blazey,South West,Cornwall,,PL24,50.40318066673307,-4.672631345280818,28938
97a5fe47-0bdc-766c-c143-f2a19506c773,2002-11-04,,999-60-6170,S99994683,X61867807X,Mr.,Shaun,James,Graham,,,,white,nonmixed,M,Brixham  South West  England,222 Simmons Underpass Apt 35,Plymouth,South West,Devon,,PL1,50.33077657927478,-4.15779137454928,41731
72e901c5-1d05-f7d4-912f-2051a78903ed,1967-03-04,,999-56-7634,S99945879,X76105681X,Ms.,Gwendoline,,Goddard,,,S,white,nonmixed,F,Gloucester  South West  England,195 McCarthy Knoll Apt 56,Dawlish,South West,Devon,,EX7,50.620969622679624,-3.461513276363242,1839
f5e6d2a9-060f-8065-cfe0-8db0ae7fb521,1964-11-10,,999-71-5794,S99918256,X39625709X,Mr.,Dennis,Daniel,Murphy,,,W,white,nonmixed,M,Poole  South West  England,505 Farrell Manor Suite 0,Thornbury,South West,Gloucestershire,,BS35,51.586009833668996,-2.579427331437622,12295
b54acf7e-a725-9fc7-0a14-8a5e298c4e69,1962-01-27,,999-72-6950,S99970854,X18370636X,Mr.,Abdul,Gilbert,Bishop,,,M,white,nonmixed,M,Yate  South West  England,347 Smith Lodge Unit 90,Teignmouth,South West,Devon,,TQ14,50.576209465852095,-3.532149564970783,12815
c3cdc816-2eaa-1e34-2975-3d65d63095c3,1961-05-30,,999-97-5032,S99996322,X78925395X,Mr.,Charles,James,Uddin,,,M,white,nonmixed,M,Dawlish  South West  England,463 Miles Trailer Unit 82,Bishop's Cleeve,South West,Gloucestershire,,GL52,51.93448838904309,-2.018532366504114,30150
49a3b08b-f4eb-cba5-68b9-20eb481776f0,1952-05-27,,999-84-9262,S99970900,X14191035X,Mrs.,Betty,,Ibrahim,,Barnett,M,white,nonmixed,F,Gloucester  South West  England,1082 Cole Extension Unit 52,Ferndown,South West,Dorset,,BH22,50.798721759331535,-1.8666043310378886,2356
ff812efa-ccb2-ee9b-82f1-41ff86a4fb3b,1999-02-20,,999-32-3507,S99957842,X79995345X,Mr.,Roy,,Cooper,,,,white,nonmixed,M,Poole  South West  England,690 Sharp Approach,Seaton,South West,Devon,,EX12,50.75436634308168,-3.0844416693982892,6752
0cc7335c-ea3d-a6b0-15e7-e23000c565eb,1943-10-19,,999-23-5919,S99946771,X8720683X,Mrs.,Elsie,,Gregory,,Clarke,W,white,nonmixed,F,Paignton  South West  England,125 Rogers Overpass,Bodmin,South West,Cornwall,,PL30,50.50214027015293,-4.716691750007074,4284
b043b11d-70ad-af23-57ca-e46803922a31,1943-12-21,,999-15-2145,S99921590,X20937774X,Mr.,Philip,Kevin,Perry,,,M,white,nonmixed,M,Bristol  South West  England,595 Banks Trailer,Weston-Super-Mare,South West,Somerset,,BS23,51.37835010081086,-2.980609427756875,38443
506ec161-70cb-ad0a-fd0e-ddb5f2831b69,1937-03-12,,999-27-5220,S99934153,X65271755X,Mrs.,Michelle,Peggy,Hunter,,Walton,D,white,nonmixed,F,Bristol  South West  England,990 Robertson Wall,Gloucester,South West,Gloucestershire,,GL1,51.9093071241579,-2.2596470851810557,10158
b3f6b813-07a3-cc84-ce7c-cd59b29932a0,1941-10-16,,999-47-2350,S99986631,X64406573X,Mr.,Gerald,Michael,Thompson,,,M,white,nonmixed,M,Gloucester  South West  England,378 Stanley Light,Portishead,South West,Somerset,,BS11,51.47466412989748,-2.671501244720276,55037
dce4d4c0-fb7e-0e22-3ac4-f224de053fcb,1972-05-05,,999-69-2421,S99956308,X45356763X,Mr.,Josh,Ashley,Anderson,MD,,M,white,nonmixed,M,Teignmouth  South West  England,252 Amin Green Apt 45,Seaton,South West,Devon,,EX12,50.70247981367056,-3.048300467426361,25897
2670d11c-8300-7621-d1a2-9b76e6e071ce,1991-11-23,,999-42-6694,S99912391,X8954591X,Mrs.,Angela,Kate,Ellis,,Nelson,M,white,nonmixed,F,Paignton  South West  England,1067 Mohamed Camp,Tetbury,South West,Gloucestershire,,GL8,51.68944529708785,-2.160716576492785,17266
193df1c0-6ffa-e3fa-a3a4-b0453fc627da,1955-01-28,,999-60-4784,S99919747,X18506110X,Mrs.,Frances,Winifred,Knowles,,Holden,M,white,nonmixed,F,Bournemouth  South West  England,884 Macdonald Crossroad Suite 24,Gloucester,South West,Gloucestershire,,GL1,51.81507050974354,-2.2839208241226814,24871
65a94bae-f262-8e1b-4a20-071a31b0dfea,1976-11-21,,999-58-1061,S99955023,X69581381X,Mrs.,Emily,Ida,Price,,Mann,D,black,nonmixed,F,Bristol  South West  England,352 Buckley Lock,Chippenham,South West,Wiltshire,,SN14,51.50680770815971,-2.1496131867817603,29694
9c273b2c-4b57-b3ef-e7f9-9e2eef95dba3,1985-04-13,,999-14-9758,S99984439,X82836508X,Mr.,Mathew,Abdul,Cole,,,M,white,nonmixed,M,Filton  South West  England,689 Singh Underpass Unit 50,Bude,South West,Cornwall,,EX23,50.868747199483366,-4.5367579739208495,33722
ba69d5be-1001-da8e-29bc-53fb9894149f,1997-07-13,,999-72-2972,S99946874,X38938260X,Mr.,Jake,,Butler,,,,hawaiian,nonmixed,M,Bristol  South West  England,1049 Baldwin Green Unit 7,Bournemouth,South West,Dorset,,BH1,50.68093638503641,-1.871715606723807,21497
85753f53-c70e-767c-ae97-3e03ed91ef70,2001-12-15,,999-59-7913,S99992202,X23753662X,Mr.,Colin,Christopher,Green,,,,white,nonmixed,M,Bristol  South West  England,112 Bird Forge Suite 71,Plymouth,South West,Devon,,PL1,50.32979510114799,-4.142664671655375,13999
7bfd8c7b-bc39-93cd-f031-98792d009f06,1975-06-09,,999-35-8371,S99922238,X70661140X,Mrs.,Vivienne,,Stevens,,Ford,M,white,nonmixed,F,Stroud  South West  England,541 Butler Union,Cheltenham,South West,Gloucestershire,,GL50,51.874988553112125,-2.03382091392135,187776
68d82798-a9ef-bb59-beb9-82c2238300a8,1993-07-17,,999-16-8657,S99983122,X7243185X,Mrs.,Ivy,,Doyle,,Oliver,M,white,nonmixed,F,Portishead  South West  England,710 Holt Highlands Apt 31,Poole,South West,Dorset,,BH15,50.73685721543363,-1.9874011484986762,4046
22183946-a125-7a8f-cc97-8078c83a9199,1966-12-18,,999-71-5193,S99948731,X20171542X,Ms.,Joy,Patricia,Cole,,,S,white,nonmixed,F,Bristol  South West  England,932 Arnold Stravenue,Tewkesbury,South West,Gloucestershire,,GL20,52.034759988468466,-2.1303022721148537,10159
85a687c7-129c-ad8d-7135-79624abe06bd,2004-09-01,,999-68-1523,S99913218,X16685574X,Mr.,Alec,Benjamin,Bryant,,,,white,nonmixed,M,Poole  South West  England,860 Knight Heights Suite 99,Frome,South West,Somerset,,BA11,51.27295942511478,-2.3374345131668735,27723
546a5636-9086-05a6-82ba-eb715e1e06f9,1973-08-04,,999-75-6114,S99987805,X18548197X,Mrs.,Beth,Sheila,Shepherd,,Elliott,D,white,nonmixed,F,Portishead  South West  England,776 Singh Manor Unit 41,Burnham-on-Sea,South West,Somerset,,TA8,51.2067286449985,-3.0424978546132575,24621
d81a3014-665c-2dc5-46f7-c711799d39a1,1977-08-05,,999-54-7024,S99986350,X77666223X,Mr.,Eric,,Perry,,,W,white,nonmixed,M,Highworth  South West  England,315 Dixon Mall Apt 53,Bath,South West,Somerset,,BA1,51.410740912352885,-2.3865348678794733,1064
57bcdf69-2442-d699-5bd4-44f000adf7c8,1947-12-05,,999-34-4537,S99997699,X13462739X,Mrs.,Mary,Janice,Heath,,Marsh,M,white,nonmixed,F,Chippenham  South West  England,721 Dobson Bypass,Torquay,South West,Cornwall,,TQ1,50.49024787958892,-3.5027142193529777,28180
bebd25a5-0543-dab9-8925-df049a094fad,1942-07-15,,999-89-8338,S99958162,X14921221X,Mr.,Philip,Dominic,Russell,,,S,white,nonmixed,M,Bristol  South West  England,762 Roberts Path,Innsworth,South West,Gloucestershire,,GL3,51.834416848534,-2.222647762878729,52231
