Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,POSTCODE,LAT,LON,ENCOUNTERS,PROCEDURES
aaf102ee-3016-3e75-a8ea-5df813db6e4c,a83dab77-0273-32cd-a600-7fcbe35de8ab,Margaret Barber,F,GENERAL PRACTICE,CONCORD MEDICAL CENTRE,BRISTOL,SW,BS34 6BQ,51.529421,-2.5548758,34,0
5f951a1d-52bb-393a-8cb9-9bf18424bed3,7de70634-01e1-3d70-ada5-d9c1cf5ad1d2,Allan Baxter,M,GENERAL PRACTICE,102 PRESTON ROAD,WEYMOUTH,SW,DT3 6BB,50.64294,-2.4304318,3,0
62500af3-4217-3ead-9e73-bf696d1e95be,339de48a-5ce3-3c92-993b-a4d046998bb3,Lawrence Hussain,M,GENERAL PRACTICE,ABBY RISE,EXETER,SW,PL19 9FD,50.5458,-4.1459048,124,0
763fd3dc-6e3c-3a27-9710-81a98172dd19,c70024ea-705e-3d79-ada8-0b8fa075c9e4,Julie Watts,F,GENERAL PRACTICE,ENOS WAY,FROME,SW,BA11 2FH,51.237156,-2.3112808,15,0
c631b2f4-3ef0-3af7-adea-4d3744ce9789,b7d8f0e1-f16d-3a3d-b0df-a9c3866ff6db,Kelly Miah,F,GENERAL PRACTICE,BURLEIGH LANE,STROUD,SW,GL5 2PQ,51.711819,-2.1947493,6,0
b8d2b576-cd08-3aaf-9a3a-7ae7118e423a,33641218-3539-328d-b3d4-a54ad608edcd,Denis Hassan,M,GENERAL PRACTICE,TOMMY TAYLORS LANE,CHELTENHAM,SW,GL50 4RN,51.910951,-2.0796177,6,0
9e9173ef-86b7-3a01-b1c6-345d7a2d5b67,92e72726-5cc0-37af-8268-221df1e8ef58,Martin Bell,M,GENERAL PRACTICE,BRADLEY STOKE SURGERY,EASTVILLE,SW,BS32 9DS,51.540212,-2.5604431,172,0
7aa6ffed-5259-3724-a273-6b545d74e561,e864ebce-dadf-30a4-9d46-7e66e5a4d2dc,Elaine Thorpe,F,GENERAL PRACTICE,HIGHBRIDGE MEDICAL CENTRE,WILLITON  TAUNTON,SW,TA9 3YA,51.22734,-2.9792212,69,0
83aad261-7854-3fd4-894a-0b6b345e1144,60eaaf61-a578-3257-9d82-aef71ad8d102,Lionel Walton,M,GENERAL PRACTICE,MARINE SURGERY,BOURNEMOUTH,SW,BH6 3DB,50.722847,-1.8065462,68,0
30f10e6f-cfdb-3e52-9147-07c865f157c1,eab7fdb0-521a-321b-bf99-f9dc52edc2ad,Frank Powell,M,GENERAL PRACTICE,PRIME ENDOSCOPY (BRISTOL),BARNSTAPLE,SW,BS1 5SZ,51.449597,-2.6017267,108,0
ec221bfd-0933-316d-90c1-b2c2793e64a7,bd17e695-2641-3d2e-8ae4-7ef08f4942b6,Margaret Marsh,F,GENERAL PRACTICE,ALL SAINTS ROAD,SIDMOUTH,SW,EX10 8EW,50.68161,-3.2396552,3,0
0a983c60-5898-37fd-a48c-28123145bfa9,83dc856d-4316-3a56-aa87-eb2946382efc,Alfred Nicholls,M,GENERAL PRACTICE,MOUNT PLEASANT HEALTH CTR,YATE,SW,EX4 7BW,50.732834,-3.5159265,58,0
3f2c9112-f69c-32a7-9d8e-b62ea57eca44,73067b37-c686-3373-8da6-0146e6689826,Roger Lane,M,GENERAL PRACTICE,FROME COMMUNITY HOSPITAL,FROME,SW,BA11 2FH,51.237156,-2.3112808,15,0
b552212f-5290-32e7-b02c-3d9543c3e072,69562210-6eb6-3fdc-ace4-977f9c26d40a,Ashley Thorpe,M,GENERAL PRACTICE,THE LANSDOWNE SURGERY,DEVIZES,SW,SN10 2BU,51.356209,-2.0017315,31,0
2d2c699c-d789-3490-b288-b3270c3736fc,a115cb8c-3c1b-3c6f-941d-84929e89c1ef,Dora Abbott,F,GENERAL PRACTICE,AVISHAYES ROAD,CHARD,SW,TA20 1NZ,50.876686,-2.9501902,3,0
413a8c33-96af-34d3-b5d3-4ffb2eb5caa2,f728b878-c3cd-3468-9f6c-6fbb71047f54,Joel Abdi,M,GENERAL PRACTICE,PENNTORR HEALTH,BRISTOL,SW,PL11 2TB,50.376056,-4.2250421,54,0
24962537-63c6-3a42-8e08-2e6d29ad8f54,53bb9aed-dd9e-3ceb-ba60-8bc0c8089710,Nathan Gurung,M,GENERAL PRACTICE,FIRE STATION,SIDMOUTH,SW,EX10 9UU,50.693727,-3.23938,3,0
6c88f738-0b59-323f-ac8a-b4d9e5ec810e,2d19c843-04b4-3d87-a0e5-6eac364b2468,Benjamin Booth,M,GENERAL PRACTICE,PAULTON MEMORIAL HOSPIAL,SALISBURY,SW,BS39 7SB,51.298683,-2.4932811,44,0
ef167ca3-cdde-311a-af8d-91522d752aef,453f08ab-ec4f-3aca-a7b1-4eb8edd953d3,Neil Gill,M,GENERAL PRACTICE,THE MEDICAL EYE CLINIC,BODMIN,SW,EX2 8NL,50.696795,-3.517511,65,0
402d3f73-3ef8-33da-be7d-a8b4ad0725e8,5711e707-204f-3c6d-b751-8d962a6de030,Antony Bird,M,GENERAL PRACTICE,CONTINENCE DEPARTMENT CGH,GLOUCESTER,SW,GL53 7AN,51.89319,-2.0718118,33,0
6e83cbcf-f4e9-3802-b1e1-9ae8f4c8d3e3,a8292a12-6430-36f6-b143-501e61e2d449,Bernard Davison,M,GENERAL PRACTICE,WEYMOUTH COMMUNITY HOSP,CIRENCESTER,SW,DT4 7TB,50.621054,-2.4510543,47,0
5490fc86-0e55-39c2-a283-3a9dcee156ee,66ca1a59-6832-3607-bd7b-53118943a492,Valerie Wood,F,GENERAL PRACTICE,CUMBERLAND CENTRE,PLYMOUTH,SW,PL1 4JZ,50.369816,-4.1688071,15,0
fd25390a-1fa2-3994-afdb-8ce9bbf3b0fa,bfc3aa47-4fb3-3ee3-8c89-f0f683ede1ce,Angela Ward,F,GENERAL PRACTICE,POUNDBURY WHITFIELD,DORCHESTER,SW,DT2 9SL,50.722629,-2.464425,3,0
f0a08f66-180a-3ce0-8da3-2606b17fd168,c1c257ce-a5fd-39dc-8df8-adea2dc93514,Beatrice Porter,F,GENERAL PRACTICE,DIAMOND HEALTH GROUP,TAUNTON,SW,BA20 1UJ,50.938289,-2.6376117,32,0
